Ch1,Ch2,Ch3,Media,Name,Directory,SubDirectory,Image,Row,Column,size-average,image-quality,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f00d0.TIF,F,3,114.64,False,35,93,281,0,281,5.074968528694932,5.443170583095742,41.26181223388822,100.0,20,4.825174026257702,0.08004345626781936,9.976473850856157,0.1866400547971937,93,8.482246016508784,0.7027872942150281,17.777496113748413,1.3850484826224703,281,8.647373367515865,28.872120160029432,23.2136153606463,87.71688350608456,11,20,93,11
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f01d0.TIF,F,3,114.78,True,23,90,41,0,41,3.3574364250896718,3.049052124528649,29.20520220020583,99.9695945399557,41,23.483281408075047,12.604545088751955,64.24670500911607,81.90428470575932,40,21.613099822955945,10.941523728501794,61.97645455752764,78.84399445466796,41,8.972377103835187,31.876983123333027,29.09818240570844,90.8143461023297,40,41,40,40
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f02d0.TIF,F,3,164.79,True,61,5,80,3,80,7.13021360250161,6.888479490481008,36.07909306008638,99.97550887151885,60,16.18470638278304,8.002118205647015,41.90170104338881,52.14404367814606,73,21.627509082130047,12.323890025751862,63.03300032907204,78.76197744315176,77,8.896883334866182,25.559298261749287,31.133676626517286,92.9176477056205,60,60,73,60
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f03d0.TIF,F,3,117.66,True,25,20,150,3,150,4.945242803274166,4.11728018946013,39.428521351102695,99.99961120555331,116,10.315738382920998,4.581661569943898,30.25445782308467,33.28060806156012,127,11.832811925181643,5.287682217419295,33.476310498405795,33.655905209166484,147,12.138272555872344,34.88788167938932,46.52931496533115,94.14344384689032,107,116,127,107
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f04d0.TIF,F,3,120.72,True,13,10,52,1,52,3.7230280856249425,1.6178262668996597,41.63574447928454,100.0,42,8.93823145635979,2.099667754989423,36.1322795446045,41.196491863919675,44,9.785557545065759,2.375005748183574,37.60274771600558,44.26560813370545,51,3.5060406224133174,7.174236066403017,29.802703727977157,93.384175781059,41,42,44,41
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f05d0.TIF,F,3,129.02,True,41,31,203,0,203,5.439822984686839,4.517210061620528,42.5161998902613,99.99403874813711,17,4.461982232364573,0.09980283730341212,10.637473269207362,0.3985398510576494,137,10.541392669916306,1.8540766117906742,25.757622618506858,13.946064434454923,203,18.590906804699713,74.99497033937276,50.14806151003955,99.4912512366144,17,17,137,17
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f06d0.TIF,F,3,113.1,True,24,77,223,5,223,4.7804409431619606,4.456494872620252,43.16277395357834,100.0,141,10.142132461142278,2.035431803550078,20.791794902998973,11.809529946758694,106,8.102241504184677,0.8931240228087924,18.108680173132683,2.7133510346753886,218,7.013422727168215,20.512321231490848,19.60463410074208,79.36170083730667,76,141,106,76
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f07d0.TIF,F,3,107.26,True,27,156,127,0,127,5.684967925135657,6.4864659017750395,35.11636968440326,99.99323322209862,101,17.758237865584476,8.968100455256138,32.48382031344541,36.27441840597809,95,12.951384018900027,5.053515589073853,24.645658146135606,14.76035529994552,127,8.92627954566357,35.178380506759865,19.048775980429532,84.94230691384679,85,101,95,85
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f08d0.TIF,F,3,131.73,True,16,63,29,0,29,5.735320576197921,5.1309005104387015,26.94106888023969,99.89166922532323,20,26.606576353122414,15.13130288328888,45.37412201270244,52.425667913909955,28,40.42814698680217,35.51112848339925,72.06234000921692,80.8727139452204,29,21.771086492918236,77.9894147199485,41.86718130427263,97.26828018534817,20,20,28,20
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f09d0.TIF,F,3,180.0,True,171,91,175,0,175,13.323890025751862,19.45867918237837,25.629660869059297,99.7586437671361,38,25.899041777798217,13.885671502805113,26.753416508717997,17.95349204533781,175,52.28484692587143,65.89660167387106,58.519507025948656,75.29195203667294,175,62.18516408190012,99.59777085441,79.27494209586878,100.0,38,38,175,38
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f10d0.TIF,F,3,125.31,True,10,8,3,0,3,5.580154108801619,4.504779614641773,30.754437080360056,99.99756539554949,3,28.36594301825623,21.816512232134645,91.29975195465867,92.29317800393116,3,29.891381604662925,19.916234594868023,91.13406472796481,91.15617283346651,3,20.804277941920354,60.068015382139244,60.45580905617663,99.99751174146994,3,3,3,3
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F03f11d0.TIF,F,3,217.18,True,95,14,25,0,25,8.690197335142095,8.732424928722523,31.97791045156088,99.9471226033085,22,25.979945306033294,19.480809689138233,48.54252914760655,69.93462617011366,20,28.50028956474754,18.17812758668261,62.49274594950138,69.15121422573299,25,16.94412981122965,58.76468660903154,43.66018142934984,97.3832063816194,19,22,20,19
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F04f00d0.TIF,F,4,130.33,False,280,1166,1166,0,1166,19.345655522854777,37.6862411477973,34.14056583160476,99.99396930758984,1123,38.67484968499954,53.733732640485606,37.32660432770956,51.718988455389834,104,15.62841010990527,0.2543571231490849,15.407759669279832,0.16202892896486218,1165,16.217629822726018,80.53233928078727,15.96250310074355,83.59346598670399,103,1122,104,103
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F04f01d0.TIF,F,4,119.11,False,291,253,883,0,883,23.619318639060058,39.15281833440633,37.048105909130754,99.9994662711905,776,39.46870760714614,54.430843603421316,39.403845900553264,58.58713805206747,685,30.4192559838591,23.96949438977283,30.915913311329774,18.92249453631201,881,16.154967436540055,75.8450548376713,16.012576138143302,85.91910998998279,638,774,684,637
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F04f02d0.TIF,F,4,122.82,False,315,88,626,0,626,20.446171134921364,37.781158029062816,31.83682724697912,99.99545133210604,626,64.81924621194702,96.64600673687114,64.34566137021983,99.45235411107714,495,32.74199134323554,29.2435246712039,33.734359965499735,28.17740291880348,620,14.379127914329072,74.86649843649407,14.277496624134766,85.00263544098306,495,620,494,494
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F04f03d0.TIF,F,4,138.25,False,324,82,675,0,675,20.157740935114504,34.890109100524235,38.87276379965408,99.99721736200232,472,30.138207888807138,28.56746643060793,32.740064167459145,34.975525613297364,617,34.089099000965696,33.132601972776605,37.17206159943203,41.89073785588795,674,14.128743504552562,74.63714591189184,15.338974819034402,86.343579953335,454,472,616,454
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F04f04d0.TIF,F,4,121.95,False,238,228,871,38,871,15.606829991722616,26.973710682424354,35.85206251230478,99.9944917520708,783,40.31206026395659,48.29774728685735,46.938228213743486,66.14098326843633,433,24.672196179757197,12.092022670836016,27.705305561658708,14.729054169121174,733,8.605309597167295,30.264545778533982,10.331951619265356,39.935362732648414,433,683,399,399
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F04f05d0.TIF,F,4,121.92,False,278,922,1316,7,1316,21.02072794996781,37.97329106502345,36.53570519648693,99.99213926629633,1175,33.17710297296055,37.38683263588706,31.570601496672502,33.76979002325551,975,28.829584320104846,14.54678446610871,27.94663246625709,11.683548194210385,1289,12.515213286351512,60.558191736411295,12.694711940381811,62.897080535754554,926,1156,965,917
MAP2,Tuj1,nestin,E8,,E8 11-16,Cortical final-4W-E8-11-16-18-E+F,scan_Plate_R_p00_0_F04f06d0.TIF,F,4,133.31,False,190,1178,780,19,780,13.240409155706796,24.19568541340936,30.368898359542737,99.99104848065663,83,15.163320984318956,2.1895549756277015,15.58000884260089,2.207447765843399,16,10.467526355421686,0.7376356571323461,10.870161462215076,0.8207586477662059,761,14.24332779591649,68.7485629541065,14.302900207327191,72.96442373407336,11,83,16,11
