Ch1,Ch2,Ch3,Media,Name,Directory,SubDirectory,Image,Row,Column,size-average,image-quality,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f07d0.TIF,G,10,122.62,False,179,367,1021,152,1021,10.691709107422055,20.27528051135841,31.1805198320835,99.99567382763428,689,21.234245665869587,16.380670583095743,28.00090883020336,25.201964460803445,512,38.53257854892854,7.525450082773843,48.621899217428364,13.45376951331149,572,27.040641094914008,5.654272624850547,49.15682122397131,21.093324867468475,505,396,291,288
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f08d0.TIF,G,10,121.33,False,84,203,949,89,949,8.731896814356663,15.47181090775315,33.32076313832119,99.99716198202404,682,21.87247798445691,17.45622758208406,33.64504545728329,35.50298012734137,162,25.448328140807504,1.705917180171066,33.76979386320663,2.7903157454375545,585,27.402744326542813,5.72260415708636,53.88472493900185,25.80043128103142,161,408,108,108
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f09d0.TIF,G,10,122.15,False,151,159,975,176,975,9.701786391750208,17.829787662098777,31.208719662885336,99.99926583951252,734,26.416785701968177,23.674181458659064,35.553203906686356,39.688608683300515,411,40.507655143474665,6.7115072886967715,49.62853293806222,12.159994403899573,268,23.01954095005978,2.536170445139336,40.51428553245243,9.125380429218339,407,205,113,111
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f10d0.TIF,G,10,119.12,False,120,225,885,56,885,9.083569966890463,15.72609617860756,30.219196719386613,99.98730407337196,808,34.80674175710475,36.18797709923664,45.5652730731369,59.69536986507418,4,5.479175049434379,0.3696082038075968,6.756454060832317,0.43860374990518347,269,26.683967022670835,2.349282626689966,44.418021781833026,11.821514158222639,4,248,0,0
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f11d0.TIF,G,10,129.26,True,72,129,434,133,434,6.426198352570588,8.968244159845488,32.722957127804506,99.99898719556607,248,12.744571559137313,7.203982916398418,27.295474972126048,22.803089522327184,2,12.15528861629725,0.45266945645176127,19.642902127558767,0.03841713969977199,134,19.17347083946473,1.2868745976271498,44.15675515125328,8.783301177767457,2,81,2,2
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f00d0.TIF,G,11,122.31,False,83,491,1017,356,1017,9.718535161638922,17.252310769796743,30.649891587624015,99.96492788902162,661,19.830413495585397,12.752201554308838,25.61413848543029,20.376242599312906,1,11.341003805297525,0.004023728501793433,13.610303362503522,0.002434372782607162,2,9.317880299825255,0.011137105674606825,14.534519522121391,0.03111657883109367,1,2,0,0
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f01d0.TIF,G,11,133.21,False,166,225,1098,387,1098,11.242014335969834,21.096192978018944,32.61479924484347,99.98833840706052,711,24.153736606732274,17.402266508783224,30.276222252145292,27.218809841110012,5,9.882028591465097,0.6627655660811184,10.976702374887035,0.4431940211639984,5,6.6186432274901135,0.8336303228179895,8.18456164798337,0.5395578612831675,5,5,3,3
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f02d0.TIF,G,11,143.18,False,261,119,1008,345,1008,13.693722408718845,24.53238526625586,34.42280963204828,99.99974641845681,588,25.143041392669915,17.80657937091879,30.301633220968892,27.79008180669774,422,42.965135111054906,6.487184424721788,48.965214416578256,10.869371661781324,197,31.250229208820013,2.310841649038904,41.543086001194325,5.569488183082356,397,141,98,92
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f03d0.TIF,G,11,133.08,False,184,237,1294,214,1294,12.688530361905638,24.33471960360526,34.12942175056121,99.98612931210482,952,24.763358778625953,20.13193518348202,31.439467030286572,29.862742318818906,8,15.407975173595144,0.08485756001103652,18.062803732509494,0.07291115141011696,539,29.465553291409915,3.3721718936815965,44.14315268974614,10.749960154712294,7,412,5,5
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f04d0.TIF,G,11,125.33,False,197,497,1233,689,1233,13.660150861077899,25.359117768785065,30.34618837037403,99.97687789966409,542,16.460558838407064,8.67350604708912,19.76440533219367,11.275670445023648,0,9.14228263243815,0.008622275360985929,10.44471248766785,0.010056683904799706,9,9.959736129633036,0.06538558815414329,14.967539614271969,0.08942568049099564,0,7,0,0
